timestamp,activity,case_id
2022-08-03 13:36:21.687676,CreatePurchaseRequest,1
2022-08-03 13:36:26.130015,CreateCallForTender,1
2022-08-03 13:36:31.682996,CreatePurchaseRequest,2
2022-08-03 13:36:33.128185,CreateRfq,1
2022-08-03 13:36:36.566406,CreateCallForTender,2
2022-08-03 13:36:40.166167,CreateRfq,2
2022-08-03 13:36:41.837957,CreatePurchaseRequest,3
2022-08-03 13:36:47.837098,CreateCallForTender,3
2022-08-03 13:36:51.723914,CreatePurchaseRequest,4
2022-08-03 13:36:53.554412,CreateRfq,3
2022-08-03 13:36:57.547830,CreateCallForTender,4
2022-08-03 13:36:57.632165,BidSelection,2
2022-08-03 13:37:01.798148,CreatePurchaseRequest,5
2022-08-03 13:37:03.384232,CreatePurchaseOrder,2
2022-08-03 13:37:03.633698,CreateRfq,4
2022-08-03 13:37:06.642557,CreateRfq,5
2022-08-03 13:37:06.820232,BidSelection,1
2022-08-03 13:37:09.571204,BidSelection,3
2022-08-03 13:37:11.657680,CreateRfq,-1
2022-08-03 13:37:11.767559,CreatePurchaseRequest,6
2022-08-03 13:37:13.174117,CreatePurchaseOrder,-1
2022-08-03 13:37:13.524075,CreatePurchaseOrder,5
2022-08-03 13:37:14.698018,ReceiveGoods,-1
2022-08-03 13:37:17.047324,CreateCallForTender,6
2022-08-03 13:37:21.564858,SubmitPayment,2
2022-08-03 13:37:21.919464,CreatePurchaseRequest,7
2022-08-03 13:37:24.007422,ReceiveGoods,-1
2022-08-03 13:37:24.909108,CreateRfq,6
2022-08-03 13:37:26.042206,BidSelection,4
2022-08-03 13:37:26.921123,CreateCallForTender,7
2022-08-03 13:37:28.199859,SubmitPayment,6
2022-08-03 13:37:29.282904,CreateRfq,6
2022-08-03 13:37:30.630709,CreateRfq,7
2022-08-03 13:37:33.975449,CreateRfq,7
2022-08-03 13:37:34.353566,SubmitPayment,1
2022-08-03 13:37:39.207308,CreateCallForTender,8
2022-08-03 13:37:41.829519,CreatePurchaseOrder,5
2022-08-03 13:37:41.920614,CreatePurchaseRequest,9
2022-08-03 13:37:45.178764,BidSelection,6
2022-08-03 13:37:46.847566,CreateRfq,8
2022-08-03 13:37:49.092749,CreateRfq,9
2022-08-03 13:37:49.894125,BidSelection,7
2022-08-03 13:37:50.694436,CreatePurchaseOrder,-1
2022-08-03 13:37:51.084274,ReceiveGoods,-1
2022-08-03 13:37:52.056209,CreatePurchaseRequest,10
2022-08-03 13:37:52.616279,CreatePurchaseOrder,8
2022-08-03 13:37:57.196342,SubmitPayment,5
2022-08-03 13:37:59.657800,CreateCallForTender,10
2022-08-03 13:38:00.916144,CreateRfq,9
2022-08-03 13:38:06.585413,BidSelection,8
2022-08-03 13:38:08.272344,SubmitPayment,10
2022-08-03 13:38:10.000052,CreateRfq,6
2022-08-03 13:38:13.052756,SubmitPayment,8
2022-08-03 13:38:18.179244,BidSelection,9
2022-08-03 13:38:21.048194,ReceiveGoods,-1
2022-08-03 13:38:21.601793,CreatePurchaseOrder,9
2022-08-03 13:38:25.444953,BidSelection,10
2022-08-03 13:38:28.008948,ReceiveGoods,-1
2022-08-03 13:38:28.485167,SubmitPayment,8
2022-08-03 13:38:29.006091,CreatePurchaseOrder,10
2022-08-03 13:38:37.562826,SubmitPayment,9
2022-08-03 13:38:39.848057,ReceiveGoods,-1
2022-08-03 13:38:47.734416,SubmitPayment,10
